,date,open,high,low,close,volume,daily return,cumulative return
0,2018-12-31,44.95,45.15,40.25,44.0,26751731,,
1,2019-01-07,44.7,46.45,43.25,45.5,29473644,0.03409090909090917,0.03409090909090917
2,2019-01-14,44.5,46.0,42.8,45.55,37060404,0.001098901098901095,0.035227272727272885
3,2019-01-21,45.55,48.45,42.5,47.85,34869480,0.05049396267837558,0.08750000000000036
4,2019-01-28,49.8,55.95,46.2,53.8,47019195,0.12434691745036552,0.22272727272727288
5,2019-02-04,53.8,58.35,52.65,57.9,20919095,0.07620817843866168,0.31590909090909114
6,2019-02-11,57.85,64.2,57.75,58.4,33859220,0.008635578583765069,0.3272727272727274
7,2019-02-18,59.8,60.1,55.05,58.75,19100077,0.0059931506849315586,0.33522727272727293
8,2019-02-25,58.8,62.8,57.25,60.0,50358051,0.02127659574468077,0.36363636363636376
9,2019-03-04,62.0,62.0,56.35,56.85,26859810,-0.05249999999999999,0.2920454545454547
10,2019-03-11,57.95,59.6,47.0,53.95,73578612,-0.05101143359718552,0.2261363636363638
11,2019-03-18,54.7,55.6,48.2,49.7,96819908,-0.07877664504170523,0.12954545454545485
12,2019-03-25,49.25,53.9,48.25,52.9,104661973,0.06438631790744465,0.2022727272727276
13,2019-04-01,53.6,53.8,50.8,51.25,65669917,-0.031190926275992403,0.16477272727272774
14,2019-04-08,50.9,54.2,50.2,53.75,107712011,0.04878048780487809,0.22159090909090962
15,2019-04-15,53.5,55.7,53.2,55.2,65270483,0.026976744186046675,0.2545454545454553
16,2019-04-22,55.1,57.8,54.3,56.8,62674733,0.02898550724637672,0.29090909090909167
17,2019-04-29,56.2,57.9,54.45,55.5,54640559,-0.022887323943661886,0.26136363636363713
18,2019-05-06,52.85,59.6,52.5,58.95,99165653,0.06216216216216219,0.3397727272727282
19,2019-05-13,57.75,64.6,56.45,61.85,172548400,0.049194232400339155,0.4056818181818189
20,2019-05-20,62.45,62.75,57.0,61.0,137738098,-0.013742926434923253,0.38636363636363713
21,2019-05-27,62.3,62.4,59.2,60.55,146829356,-0.007377049180327888,0.3761363636363644
