,date,open,high,low,close,volume,daily return,cumulative return
0,2022-10-06,83.0,84.55,82.65,83.15,29151683,,
1,2022-10-07,81.7,82.8,81.2,81.35,27043107,-0.021647624774503993,-0.021647624774503993
2,2022-10-10,79.25,79.55,78.0,78.7,28520208,-0.032575291948371166,-0.05351773902585688
3,2022-10-11,78.15,78.6,75.6,76.0,39298810,-0.03430749682337997,-0.08598917618761281
4,2022-10-12,74.5,77.35,72.3,74.35,56354876,-0.021710526315789513,-0.10583283223090811
5,2022-10-13,74.35,74.95,72.6,72.75,25774888,-0.021519838601210428,-0.12507516536380037
6,2022-10-14,74.0,76.1,72.35,73.25,43037199,0.0068728522336769515,-0.11906193625977157
7,2022-10-17,72.15,74.65,70.9,73.2,45035937,-0.0006825938566552558,-0.1196632591701744
8,2022-10-18,75.3,76.4,73.85,76.0,35967664,0.03825136612021862,-0.0859891761876127
9,2022-10-19,75.1,75.6,72.5,72.7,39088213,-0.043421052631578916,-0.1256764882742032
10,2022-10-20,69.0,71.2,68.0,69.9,63153613,-0.038514442916093516,-0.15935057125676477
11,2022-10-21,70.1,71.1,69.35,69.6,55066786,-0.0042918454935624295,-0.16295850871918227
12,2022-10-24,66.0,67.25,60.8,61.65,169668961,-0.11422413793103448,-0.25856885147324116
13,2022-10-25,61.85,65.95,60.25,63.6,102026681,0.031630170316301776,-0.23511725796752858
14,2022-10-26,61.8,64.65,61.25,62.3,93276020,-0.020440251572327095,-0.25075165363800367
15,2022-10-27,67.55,67.95,64.65,64.85,91203977,0.040930979133226186,-0.22008418520745654
16,2022-10-28,64.25,64.55,60.9,61.75,69414690,-0.04780262143407854,-0.2573662056524354
17,2022-10-31,61.0,64.55,60.3,61.45,65768272,-0.004858299595141613,-0.2609741431148527
18,2022-11-01,63.05,68.25,62.85,66.1,112728864,0.0756712774613506,-0.20505111244738428
19,2022-11-02,65.3,68.0,64.15,67.4,44674540,0.019667170953101554,-0.18941671677690908
20,2022-11-03,63.6,65.0,62.85,63.0,58022487,-0.06528189910979232,-0.24233313289236313
21,2022-11-04,64.0,76.2,64.0,69.9,151997251,0.10952380952380958,-0.15935057125676477
22,2022-11-07,66.7,71.8,66.3,69.7,99793174,-0.0028612303290415086,-0.1617558628983763
23,2022-11-08,68.75,69.0,66.4,67.1,64928791,-0.03730272596843631,-0.19302465423932647
24,2022-11-09,66.7,67.75,65.15,66.0,63076446,-0.016393442622950727,-0.20625375826818992
25,2022-11-10,63.9,64.5,62.6,63.0,58517362,-0.045454545454545414,-0.24233313289236302
26,2022-11-11,68.75,71.45,67.05,70.8,110961720,0.12380952380952381,-0.14852675886951272
27,2022-11-14,73.0,73.7,70.0,71.05,93784730,0.003531073446327637,-0.14552014431749838
28,2022-11-15,71.0,80.85,69.75,78.9,187288574,0.11048557353976096,-0.05111244738424503
29,2022-11-16,77.75,80.8,77.0,78.8,100509510,-0.0012674271229405898,-0.0523150932050509
30,2022-11-17,77.0,79.7,74.0,78.25,89532516,-0.006979695431472033,-0.05892964521948263
31,2022-11-18,83.25,83.5,79.25,79.95,110896755,0.021725239616613434,-0.038484666265784506
32,2022-11-21,77.15,77.3,75.0,76.15,49675006,-0.047529706066291366,-0.08418520745640379
33,2022-11-22,75.2,75.7,72.2,73.1,60909746,-0.040052527905449886,-0.12086590499097993
34,2022-11-23,73.75,76.45,73.05,75.4,54202563,0.03146374829001375,-0.09320505111244715
35,2022-11-24,76.7,77.2,74.9,76.4,31644335,0.013262599469495928,-0.08117859290438945
36,2022-11-25,75.9,76.0,73.85,74.75,28359869,-0.0215968586387435,-0.10102224894768475
37,2022-11-28,70.6,73.35,69.8,72.2,65982901,-0.03411371237458194,-0.13168971737823199
38,2022-11-29,73.65,78.8,73.2,78.75,94542048,0.09072022160664805,-0.052916416115453946
39,2022-11-30,77.7,80.9,76.45,79.9,109081005,0.014603174603174729,-0.03908598917618744
40,2022-12-01,85.6,86.9,82.45,82.8,106301600,0.03629536921151422,-0.004209260372820212
41,2022-12-02,83.6,85.75,82.95,84.8,74134786,0.024154589371980784,0.0198436560432953
42,2022-12-05,88.8,92.85,87.25,92.65,132953207,0.09257075471698117,0.11425135297654854
43,2022-12-06,88.15,91.75,88.15,89.85,66889543,-0.030221262817053507,0.08057726999398684
44,2022-12-07,89.2,92.0,84.8,85.05,83595457,-0.05342237061769617,0.022850270595309752
45,2022-12-08,86.8,91.1,86.3,89.4,70524387,0.05114638447971798,0.0751653638003611
46,2022-12-09,90.65,93.2,88.85,91.85,85186929,0.027404921700223683,0.10463018641010247
