date,open,high,low,close,volume,daily return,cumulative return
2022-10-20,71.6,74.94,71.55,72.02,19173394,,
2022-10-21,71.2,72.79,69.4652,72.18,19526824,0.0022216051096919376,0.0022216051096919376
2022-10-24,63.39,64.1,58.01,63.15,101023155,-0.1251039068994182,-0.12316023326853642
2022-10-25,65.08,66.1788,61.26,63.22,69302372,0.0011084718923197734,-0.12218828103304635
2022-10-26,63.36,69.8,62.92,68.51,53063309,0.08367605188231586,-0.04873646209386262
2022-10-27,65.44,67.8799,65.42,65.84,25812645,-0.03897241278645458,-0.08580949736184385
2022-10-28,63.2,64.15,61.82,63.74,28638002,-0.03189550425273391,-0.11496806442654806
2022-10-31,63.49,64.8499,63.22,63.58,20645269,-0.002510197678067261,-0.11718966953623988
2022-11-01,68.01,68.4512,65.64,65.86,27256999,0.035860333438188174,-0.08553179672313238
2022-11-02,66.48,67.67,64.33,64.7,28298088,-0.01761311873671423,-0.10163843376839754
2022-11-03,63.42,66.88,63.4,65.21,23360518,0.007882534775888628,-0.09455706748125514
2022-11-04,71.17,71.64,67.45,69.81,50595584,0.07054132801717539,-0.03068592057761721
2022-11-07,71.3,71.88,68.6722,69.71,26087638,-0.0014324595330182932,-0.03207442377117464
2022-11-08,67.62,68.92,66.27,68.13,23870184,-0.022665327786544287,-0.05401277422938078
2022-11-09,66.43,66.78,64.8,64.84,22099340,-0.0482900337589901,-0.0996945292974174
2022-11-10,68.03,69.99,68.0,69.77,28757183,0.07603331276989511,-0.03124132185504025
2022-11-11,72.32,72.7,69.31,70.77,38723358,0.014332807797047487,-0.017356289919466805
2022-11-14,73.16,74.0,71.32,71.33,30310714,0.007912957467853587,-0.00958067203554569
2022-11-15,78.93,80.37,77.81,79.3,53150492,0.11173419318659739,0.10108303249097461
2022-11-16,80.32,80.45,77.41,78.16,26637348,-0.014375788146279933,0.0852540960844208
2022-11-17,76.0,85.68,75.76,84.26,62050577,0.07804503582395106,0.16995279089141913
2022-11-18,82.15,82.52,79.86,80.48,29528331,-0.04486114407785424,0.11746737017495157
2022-11-21,78.69,79.06,76.47,76.93,19005149,-0.04411033797216701,0.0681755068036658
2022-11-22,75.44,76.8,74.58,75.99,20694114,-0.012218900298973212,0.055123576784226636
2022-11-23,78.19,78.845,76.85,78.5,19032677,0.033030661929201344,0.08997500694251603
2022-11-25,75.5,76.05,74.92,75.5,13036881,-0.03821656050955413,0.0483199111357957
2022-11-28,74.74,77.417,74.68,75.88,19119393,0.005033112582781385,0.05359622327131364
2022-11-29,80.24,80.89,79.45,79.86,24178076,0.05245123879810243,0.10885865037489606
2022-11-30,82.74,89.625,82.25,87.56,60169613,0.09641873278236912,0.21577339627881154
2022-12-01,84.35,87.6,84.26,85.94,20243018,-0.01850159890360903,0.19327964454318236
2022-12-02,86.05,91.85,86.05,90.06,35042629,0.047940423551315,0.25048597611774515
