date,open,high,low,close,volume,daily return,cumulative return
2018-12-31,141.83,142.02,129.83,139.75,70147123,,
2019-01-07,140.55,153.38,139.01,151.32,77766252,0.0827906976744186,0.0827906976744186
2019-01-14,148.5,159.49,146.54,157.02,78767774,0.03766851704996044,0.12357781753130603
2019-01-21,154.4,160.5,150.207,159.21,59186663,0.013947267863966273,0.1392486583184258
2019-01-28,157.8,169.73,155.3,167.97,97508271,0.05502166949312226,0.20193202146690514
2019-02-04,166.32,173.09,163.75,167.36,51783154,-0.003631600881109587,0.19756708407871204
2019-02-11,168.85,171.05,165.41,166.15,45334787,-0.007229923518164538,0.18890876565295156
2019-02-18,166.98,177.02,166.5,176.92,50054415,0.0648209449292807,0.26597495527728054
2019-02-25,181.26,186.9,179.37,183.88,80175866,0.039339814605471535,0.31577817531305885
2019-03-04,186.0,188.08,171.565,175.03,67475098,-0.04812921470524256,0.25245080500894446
2019-03-11,177.83,182.535,177.58,180.97,51460813,0.03393703936468029,0.2949552772808586
2019-03-18,181.93,183.36,175.336,176.26,55547057,-0.026026413217660416,0.26125223613595683
2019-03-25,174.33,182.6,174.1,182.45,45703335,0.0351185748326337,0.305545617173524
2019-04-01,185.09,185.56,176.76,185.35,83368616,0.015894765689229873,0.32629695885509813
2019-04-08,184.19,189.79,183.75,188.91,58959471,0.019206905853790035,0.35177101967799596
2019-04-15,188.06,188.2,182.56,186.94,46307382,-0.010428246254830298,0.33767441860465075
2019-04-22,184.5,188.74,183.61,187.09,49271721,0.0008023964908527859,0.3387477638640426
2019-04-29,187.42,195.72,183.82,195.21,67347180,0.043401571436207265,0.39685152057245054
2019-05-06,185.17,189.0,173.07,178.0,105357243,-0.08816146713795403,0.2737030411449013
2019-05-13,169.79,180.24,168.49,169.57,121151434,-0.04735955056179775,0.2133810375670837
2019-05-20,164.44,165.59,154.41,155.0,129649055,-0.08592321755027421,0.10912343470482977
2019-05-27,156.4,157.07,147.95,149.26,112939249,-0.037032258064516155,0.06805008944543789
2019-06-03,149.6,156.11,148.845,154.23,109386202,0.033297601500736906,0.10361359570661843
2019-06-10,158.78,165.68,157.23,158.1,108915594,0.025092394475783042,0.13130590339892634
2019-06-17,157.53,170.48,157.42,167.55,114003949,0.059772296015180304,0.1989266547406079
2019-06-24,168.4,171.98,164.62,169.45,99605873,0.011339898537749749,0.21252236135957014
2019-07-01,175.865,177.95,172.82,173.3,61244794,0.022720566538802167,0.24007155635062571
2019-07-08,170.09,171.37,165.0,169.07,81889551,-0.024408540103866283,0.20980322003577756
2019-07-15,171.5,176.22,170.42,172.99,85520378,0.02318566274324252,0.23785330948121586
2019-07-22,173.5,179.4,171.437,178.74,83610762,0.03323891554425118,0.2789982110912339
2019-07-29,178.43,179.88,160.35,161.0,103867496,-0.09925030770952226,0.15205724508050045
2019-08-05,155.03,162.3,151.85,159.12,106300078,-0.011677018633540315,0.1386046511627903
2019-08-12,157.5,177.55,155.54,174.6,120274895,0.09728506787330304,0.2493738819320208
2019-08-19,177.43,178.8,163.831,164.54,69025382,-0.057617411225658666,0.17738819320214616
2019-08-26,166.49,175.25,164.2,175.03,52727421,0.06375349459098101,0.252450805008944
2019-09-02,173.0,179.22,172.15,176.69,35091987,0.009484088441981342,0.2643291592128796
2019-09-09,177.88,180.5,172.22,179.17,45721554,0.014035882053313742,0.2820751341681569
2019-09-16,177.75,184.13,175.37,182.51,66937044,0.018641513646257657,0.30597495527728014
2019-09-23,181.25,181.33,163.15,165.98,83408139,-0.09057037970522164,0.18769230769230694
2019-09-30,169.887,170.7,161.9,170.34,59745229,0.026268225087360042,0.2188908765652946
2019-10-07,168.83,174.88,161.68,172.94,69304637,0.015263590466126464,0.23749552772808524
2019-10-14,172.84,178.59,169.0,169.13,55204776,-0.02203076211402799,0.21023255813953434
2019-10-21,172.64,175.81,168.12,174.31,46024851,0.030627328090817807,0.2472987477638635
2019-10-28,176.5,182.12,173.936,176.46,74012543,0.012334346853307254,0.26268336314847884
2019-11-04,180.66,188.28,178.02,187.16,122968299,0.060636971551626395,0.3392486583184251
2019-11-11,184.82,187.65,181.0,185.49,71945602,-0.008922846762128622,0.32729874776386336
2019-11-18,186.98,186.98,181.06,186.78,62904482,0.006954552806081038,0.3365295169946323
2019-11-25,188.32,200.98,187.88,200.0,123159525,0.07077845593746646,0.4311270125223603
2019-12-02,198.58,202.0,189.85,201.89,89270099,0.009449999999999958,0.4446511627906966
2019-12-09,200.32,207.1,198.55,204.91,79369485,0.014958640844024096,0.4662611806797845
2019-12-16,206.33,213.98,206.19,212.25,80691269,0.0358206041676834,0.5187835420393552
2019-12-23,213.25,218.11,212.91,215.47,36660190,0.015170789163722054,0.5418246869409653
2019-12-30,215.78,219.98,210.73,217.0,39938411,0.0071007564858216465,0.5527728085867614
2020-01-06,214.89,225.96,214.09,223.83,58763768,0.03147465437788033,0.6016457960644002
2020-01-13,228.81,231.14,222.73,227.43,72316588,0.016083634901487676,0.6274060822898027
2020-01-20,222.45,225.58,211.325,213.75,62421865,-0.06015037593984962,0.5295169946332732
2020-01-27,201.22,213.98,199.5,206.59,86511366,-0.0334970760233918,0.47828264758497263
2020-02-03,208.67,226.7,208.67,216.53,71211532,0.04811462316665849,0.5494096601073337
2020-02-10,213.5,225.52,212.2,219.63,90951803,0.01431672285595531,0.5715921288014303
