date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-10-28,8.96,8.99,8.525,8.95,9410688,,,,,
2022-10-31,8.745,9.21,8.74,8.92,6714203,-0.003351955307262511,-0.003351955307262511,,,-0.003351955307262511
2022-11-01,9.78,9.975,9.21,9.23,12662291,0.034753363228699596,0.03128491620111751,,,0.03128491620111751
2022-11-02,9.55,9.79,9.105,9.26,10879196,0.003250270855904569,0.03463687150838002,,,0.03463687150838002
2022-11-03,8.88,9.73,8.83,9.53,8010710,0.029157667386608965,0.06480446927374306,,,0.06480446927374306
2022-11-04,11.07,11.74,10.455,11.71,21998767,0.22875131164742935,0.30837988826815677,,,0.30837988826815677
2022-11-07,12.31,12.732,11.41,11.82,16347370,0.009393680614859123,0.3206703910614528,,,0.3206703910614528
2022-11-08,11.4,11.63,10.9,11.56,9035680,-0.021996615905245376,0.29162011173184377,,,0.29162011173184377
2022-11-09,10.78,10.85,10.07,10.17,9154037,-0.12024221453287198,0.13631284916201136,,,0.13631284916201136
2022-11-10,11.03,12.04,11.0201,11.71,9643797,0.15142576204523106,0.30837988826815654,,,0.30837988826815654
2022-11-11,12.33,12.805,11.91,12.67,10533652,0.08198121263877023,0.41564245810055866,,,0.41564245810055866
2022-11-14,13.16,13.49,12.7,12.88,7220901,0.016574585635359185,0.4391061452513967,,,0.4391061452513967
2022-11-15,14.95,16.88,14.74,16.28,24960295,0.2639751552795031,0.8189944134078213,,,0.8189944134078213
2022-11-16,15.93,16.105,15.3,15.46,13639199,-0.05036855036855037,0.7273743016759777,,,0.7273743016759777
2022-11-17,14.92,16.53,14.64,15.79,13785670,0.021345407503233993,0.7642458100558658,,,0.7642458100558658
2022-11-18,15.47,15.47,14.11,14.72,10406202,-0.06776440785307147,0.6446927374301676,,,0.6446927374301676
2022-11-21,14.21,14.22,13.22,13.52,7820101,-0.08152173913043481,0.5106145251396648,,,0.5106145251396648
2022-11-22,12.94,13.18,12.655,13.15,6163132,-0.02736686390532539,0.4692737430167597,,,0.4692737430167597
2022-11-23,13.46,13.6,13.0202,13.28,4974390,0.009885931558935246,0.483798882681564,,,0.483798882681564
2022-11-25,12.6,12.89,12.225,12.33,6214809,-0.07153614457831325,0.3776536312849159,,,0.3776536312849159
2022-11-28,12.22,13.19,12.21,12.59,9912722,0.02108678021086785,0.40670391061452493,,,0.40670391061452493
2022-11-29,14.29,15.73,14.27,15.4,34611910,0.22319301032565542,0.7206703910614525,,,0.7206703910614525
2022-11-30,16.51,17.74,16.51,17.36,25308979,0.1272727272727272,0.9396648044692735,,,0.9396648044692735
2022-12-01,16.66,17.18,16.37,17.02,7135468,-0.019585253456221197,0.901675977653631,,,0.901675977653631
2022-12-02,16.61,19.99,16.5,19.84,28678002,0.16568742655699187,1.2167597765363127,,,1.2167597765363127
2022-12-05,22.34,23.01,19.36,19.69,30351450,-0.007560483870967638,1.2000000000000002,,,1.2000000000000002
2022-12-06,19.96,21.9,18.88,20.56,25631830,0.04418486541391564,1.2972067039106148,,,1.2972067039106148
2022-12-07,19.63,22.5,19.56,21.72,23072867,0.05642023346303504,1.4268156424581009,,,1.4268156424581009
2022-12-08,23.77,24.91,22.8,23.4,28125727,0.07734806629834257,1.614525139664805,,,1.614525139664805
2022-12-09,24.52,26.305,24.395,25.41,24538450,0.08589743589743604,1.8391061452513977,,,1.8391061452513977
2022-12-12,24.84,24.925,21.82,23.0,18751069,-0.09484454939000397,1.569832402234638,,,1.569832402234638
2022-12-13,25.0,25.2497,23.465,24.09,12760721,0.04739130434782601,1.6916201117318446,,,1.6916201117318446
2022-12-14,24.16,25.065,23.37,24.59,9120335,0.02075550020755501,1.7474860335195541,,,1.7474860335195541
2022-12-15,25.09,25.25,22.2901,22.5,13074854,-0.08499389995933304,1.5139664804469284,,,1.5139664804469284
2022-12-16,23.27,24.25,23.0,23.01,10440618,0.022666666666666835,1.5709497206703924,,,1.5709497206703924
2022-12-19,23.06,23.13,20.7,21.66,9592623,-0.05867014341590615,1.4201117318435768,,,1.4201117318435768
2022-12-20,20.68,22.5,20.48,22.18,8779940,0.024007386888273308,1.4782122905027948,,,1.4782122905027948
2022-12-21,21.94,23.575,21.6,23.34,6577407,0.05229936880072139,1.607821229050281,,,1.607821229050281
2022-12-22,23.7,24.17,22.87,23.6,7984208,0.011139674378749076,1.6368715083798904,,,1.6368715083798904
2022-12-23,23.75,24.18,22.83,23.17,5217391,-0.018220338983050866,1.5888268156424603,,,1.5888268156424603
2022-12-27,23.3,25.44,23.135,24.75,11468925,0.06819162710401372,1.765363128491622,,,1.765363128491622
2022-12-28,24.28,24.53,22.4701,22.76,7772491,-0.08040404040404037,1.5430167597765383,,,1.5430167597765383
2022-12-29,23.16,24.43,22.28,24.29,9301957,0.06722319859402459,1.7139664804469295,,,1.7139664804469295
2022-12-30,23.02,24.17,23.02,23.69,6127534,-0.024701523260600933,1.6469273743016783,,,1.6469273743016783
2023-01-03,25.48,27.6601,25.0,27.0,17735646,0.13972140143520462,2.016759776536315,,,2.016759776536315
2023-01-04,28.25,28.81,27.2,28.32,14454200,0.04888888888888898,2.164245810055869,,,2.164245810055869
2023-01-05,27.64,29.46,27.41,29.2,10745294,0.031073446327683607,2.2625698324022374,,,2.2625698324022374
2023-01-06,28.305,28.98,27.5099,28.65,8175628,-0.018835616438356184,2.201117318435757,,,2.201117318435757
2023-01-09,27.25,27.61,26.64,27.0,21026164,-0.05759162303664922,2.016759776536315,,,2.016759776536315
2023-01-10,27.26,27.64,26.79,27.5,7392991,0.0185185185185186,2.072625698324025,,,2.072625698324025
2023-01-11,27.675,27.76,26.34,26.94,10614771,-0.02036363636363636,2.0100558659217906,,,2.0100558659217906
2023-01-12,26.42,26.93,25.25,26.68,7326783,-0.00965107646622132,1.9810055865921816,,,1.9810055865921816
2023-01-13,27.03,28.05,27.01,27.97,8505663,0.04835082458770601,2.125139664804472,,,2.125139664804472
2023-01-17,27.275,27.38,25.94,26.54,6312289,-0.05112620664998213,1.9653631284916226,,,1.9653631284916226
2023-01-18,26.67,27.2224,25.4,25.43,5242343,-0.0418236623963828,1.8413407821229075,,,1.8413407821229075
2023-01-19,26.04,26.45,24.47,24.65,7937229,-0.030672434132913873,1.7541899441340805,,,1.7541899441340805
2023-01-20,25.6,25.99,25.22,25.39,6467543,0.030020283975659368,1.836871508379891,,,1.836871508379891
2023-01-23,25.77,26.81,25.4687,26.18,5680548,0.031114612051988955,1.925139664804472,,,1.925139664804472
2023-01-24,25.8,26.2,25.57,25.64,3190759,-0.02062643239113826,1.864804469273746,,,1.864804469273746
2023-01-25,25.49,25.94,24.91,25.91,4108393,0.010530421216848662,1.894972067039109,,,1.894972067039109
2023-01-26,27.73,28.1499,26.87,28.02,9538809,0.08143573909687385,2.1307262569832437,,,2.1307262569832437
2023-01-27,27.685,28.05,26.91,27.78,5426066,-0.008565310492505307,2.103910614525143,,,2.103910614525143
2023-01-30,25.45,25.8,24.56,25.32,10005264,-0.08855291576673874,1.829050279329612,,,1.829050279329612
2023-01-31,24.79,25.875,24.73,25.0,5745452,-0.012638230647709303,1.793296089385478,,,1.793296089385478
2023-02-01,25.79,26.53,24.97,26.25,7538403,0.050000000000000044,1.932960893854752,,,1.932960893854752
2023-02-02,25.85,26.01,25.15,25.66,6157894,-0.022476190476190427,1.867039106145255,,,1.867039106145255
2023-02-03,25.04,25.7,24.29,24.33,5415736,-0.051831644583008596,1.7184357541899473,,,1.7184357541899473
2023-02-06,23.33,23.635,22.46,23.33,7836118,-0.04110152075626794,1.6067039106145282,,,1.6067039106145282
2023-02-07,24.05,24.17,22.41,23.27,9610338,-0.002571795970852886,1.6000000000000032,,,1.6000000000000032
2023-02-08,23.02,23.17,21.95,22.46,8040117,-0.034808766652342005,1.509497206703914,,,1.509497206703914
2023-02-09,23.835,23.88,22.28,22.42,7986243,-0.0017809439002670624,1.5050279329608975,,,1.5050279329608975
2023-02-10,21.8,22.0,21.23,21.62,7780960,-0.035682426404995526,1.4156424581005624,,,1.4156424581005624
2023-02-13,22.55,22.93,22.33,22.41,6410259,0.036540240518038836,1.5039106145251435,,,1.5039106145251435
2023-02-14,22.2,22.68,21.7,22.47,3827112,0.0026773761713521083,1.5106145251396685,,,1.5106145251396685
2023-02-15,21.85,22.75,21.76,22.65,3064230,0.008010680907877266,1.530726256983244,,,1.530726256983244
2023-02-16,22.93,23.3499,22.49,22.75,4527605,0.004415011037527616,1.541899441340786,,,1.541899441340786
2023-02-17,22.16,22.32,21.71,22.05,3386699,-0.03076923076923077,1.4636871508379925,,,1.4636871508379925
2023-02-21,21.62,22.12,21.4,21.5,5647588,-0.024943310657596363,1.402234636871512,,,1.402234636871512
2023-02-22,22.23,22.66,21.5209,21.89,7045957,0.018139534883720998,1.4458100558659255,,,1.4458100558659255
2023-02-23,22.86,22.95,21.6,22.05,6855186,0.007309273640931924,1.4636871508379925,,,1.4636871508379925
2023-02-24,20.72,20.9,19.96,20.47,8708296,-0.07165532879818604,1.28715083798883,,,1.28715083798883
2023-02-27,20.83,20.86,19.915,20.04,8353968,-0.021006350757205694,1.2391061452513994,,,1.2391061452513994
2023-02-28,19.65,20.05,19.24,19.3,8943495,-0.036926147704590795,1.1564245810055893,,,1.1564245810055893
2023-03-01,20.95,21.04,19.48,19.67,14193680,0.019170984455958662,1.1977653631284948,,,1.1977653631284948
2023-03-02,18.39,21.75,18.2,21.57,16338679,0.0965937976614133,1.410055865921791,,,1.410055865921791
2023-03-03,21.82,23.72,21.5505,22.61,16632711,0.048215113583681024,1.526256983240227,,,1.526256983240227
2023-03-06,22.5,22.62,21.62,21.63,5065521,-0.04334365325077405,1.416759776536316,,,1.416759776536316
2023-03-07,20.56,21.055,20.33,20.55,7152761,-0.04993065187239942,1.2960893854748634,,,1.2960893854748634
2023-03-08,20.09,20.5182,19.76,20.24,4016228,-0.015085158150851652,1.2614525139664834,,,1.2614525139664834
2023-03-09,19.62,19.6399,18.56,18.62,8093456,-0.08003952569169948,1.0804469273743047,,,1.0804469273743047
2023-03-10,19.0,20.24,18.76,19.73,11222963,0.059613319011815324,1.2044692737430203,,,1.2044692737430203
2023-03-13,20.69,21.405,20.3,21.1,8468760,0.0694374049670552,1.3575418994413444,,,1.3575418994413444
2023-03-14,20.71,21.52,20.7,21.5,4786491,0.018957345971563955,1.402234636871512,,,1.402234636871512
2023-03-15,20.835,21.18,20.1,21.09,5640394,-0.019069767441860508,1.35642458100559,,,1.35642458100559
2023-03-16,20.358,22.42,20.31,22.34,8592887,0.05926979611190131,1.4960893854748636,,,1.4960893854748636
2023-03-17,23.07,23.32,22.14,22.18,5095179,-0.0071620411817368,1.4782122905027966,,,1.4782122905027966
2023-03-20,22.65,24.04,22.55,23.63,10368188,0.06537421100090168,1.6402234636871542,,,1.6402234636871542
2023-03-21,23.01,23.54,22.755,23.16,4397816,-0.019889970376639865,1.5877094972067072,,,1.5877094972067072
2023-03-22,23.63,23.81,22.77,22.78,4101365,-0.016407599309153698,1.5452513966480481,,,1.5452513966480481
2023-03-23,24.38,25.58,23.56,24.21,10071662,0.06277436347673393,1.7050279329608973,,,1.7050279329608973
2023-03-24,23.94,24.675,23.74,23.9,3248938,-0.01280462618752587,1.6703910614525173,,,1.6703910614525173
2023-03-27,23.92,24.4,23.72,24.39,4360923,0.020502092050209253,1.7251396648044728,,,1.7251396648044728
2023-03-28,24.765,25.32,24.49,25.09,5191550,0.028700287002870084,1.8033519553072663,,,1.8033519553072663
2023-03-29,24.48,24.78,23.78,24.71,4080763,-0.015145476285372661,1.7608938547486073,,,1.7608938547486073
2023-03-30,24.84,25.56,24.65,25.03,3844129,0.012950222581950666,1.7966480446927413,,,1.7966480446927413
2023-03-31,24.15,24.3,23.125,23.5,7277416,-0.06112664802237322,1.6256983240223497,,,1.6256983240223497
2023-04-03,22.9,22.93,22.35,22.69,7318648,-0.034468085106382884,1.5351955307262606,,,1.5351955307262606
2023-04-04,21.86,22.02,21.34,21.66,7096140,-0.045394446892904394,1.420111731843579,,,1.420111731843579
2023-04-05,21.59,21.59,20.9,21.26,3737581,-0.0184672206832871,1.3754189944134114,,,1.3754189944134114
2023-04-06,21.38,21.77,20.92,21.51,3544411,0.01175917215428024,1.403351955307266,,,1.403351955307266
2023-04-10,20.92,21.18,20.64,20.94,3075373,-0.02649930264993028,1.339664804469277,,,1.339664804469277
2023-04-11,21.8,22.53,21.655,21.74,6499475,0.038204393505252954,1.429050279329612,,,1.429050279329612
2023-04-12,21.4,21.69,20.235,20.29,5585946,-0.06669733210671569,1.2670391061452544,,,1.2670391061452544
2023-04-13,21.29,21.73,21.22,21.4,5142714,0.05470675209462783,1.3910614525139695,,,1.3910614525139695
2023-04-14,21.2,21.48,20.83,20.9,2295056,-0.02336448598130836,1.33519553072626,,,1.33519553072626
2023-04-17,21.53,21.845,21.42,21.73,3163525,0.039712918660287144,1.427932960893858,,,1.427932960893858
2023-04-18,21.83,21.92,21.2,21.59,3899602,-0.00644270593649332,1.4122905027932995,,,1.4122905027932995
2023-04-19,20.8,21.125,20.72,20.96,2007086,-0.02918017600741074,1.3418994413407859,,,1.3418994413407859
2023-04-20,20.74,20.825,20.03,20.32,4484642,-0.03053435114503822,1.2703910614525173,,,1.2703910614525173
2023-04-21,20.2,20.5899,20.045,20.38,4054519,0.0029527559055118058,1.2770949720670424,,,1.2770949720670424
2023-04-24,20.18,20.31,19.685,19.88,2445271,-0.024533856722276703,1.2212290502793328,,,1.2212290502793328
2023-04-25,19.5,19.885,19.25,19.28,4425738,-0.030181086519114553,1.1541899441340817,,,1.1541899441340817
2023-04-26,20.45,20.6,19.59,19.85,3380190,0.029564315352697212,1.2178770949720708,,,1.2178770949720708
2023-04-27,19.56,20.11,19.27,20.04,2887867,0.009571788413098137,1.2391061452514003,,,1.2391061452514003
2023-04-28,20.08,20.425,19.95,20.36,2353191,0.015968063872255467,1.2748603351955343,,,1.2748603351955343
2023-05-01,20.06,20.56,20.0,20.23,1641028,-0.006385068762278956,1.2603351955307298,,,1.2603351955307298
2023-05-02,19.75,19.795,18.76,18.79,4722906,-0.0711814137419674,1.0994413407821262,,,1.0994413407821262
2023-05-03,19.1,19.435,18.72,19.11,2494144,0.01703033528472586,1.1351955307262602,,,1.1351955307262602
2023-05-04,19.6,20.385,19.53,19.88,3389777,0.04029304029304037,1.2212290502793333,,,1.2212290502793333
2023-05-05,19.77,20.355,19.65,20.25,2989094,0.018611670020120874,1.2625698324022387,,,1.2625698324022387
2023-05-08,20.12,20.12,19.419,19.98,2564015,-0.013333333333333308,1.2324022346368757,,,1.2324022346368757
2023-05-09,19.0,19.47,18.94,19.41,2236821,-0.028528528528528496,1.1687150837988867,,,1.1687150837988867
2023-05-10,18.91,19.25,18.57,18.88,4249255,-0.027305512622359696,1.1094972067039142,,,1.1094972067039142
2023-05-11,18.71,19.36,18.63,19.1,4589739,0.011652542372881491,1.1340782122905066,,,1.1340782122905066
2023-05-12,18.51,18.52,18.04,18.21,4693420,-0.04659685863874352,1.0346368715083836,,,1.0346368715083836
2023-05-15,18.69,19.74,18.47,19.58,4859028,0.07523338824821502,1.1877094972067073,,,1.1877094972067073
2023-05-16,18.81,19.22,18.57,19.01,3608680,-0.029111338100102024,1.1240223463687187,,,1.1240223463687187
2023-05-17,18.18,18.7,18.08,18.57,3741459,-0.02314571278274602,1.0748603351955341,,,1.0748603351955341
2023-05-18,18.57,18.6,18.0012,18.25,2849868,-0.017232094776521323,1.0391061452514,,,1.0391061452514
2023-05-19,18.14,18.495,18.05,18.2,2301575,-0.002739726027397249,1.033519553072629,,,1.033519553072629
2023-05-22,18.79,19.36,18.69,18.8,3556354,0.03296703296703307,1.1005586592178807,,,1.1005586592178807
2023-05-23,18.35,18.4913,17.905,18.0,5180564,-0.042553191489361764,1.011173184357545,,,1.011173184357545
2023-05-24,17.59,17.811,17.22,17.29,4568480,-0.039444444444444504,0.9318435754189973,,,0.9318435754189973
2023-05-25,17.04,17.0908,16.33,16.55,5006000,-0.042799305957200606,0.8491620111731872,,,0.8491620111731872
2023-05-26,16.97,17.16,16.62,16.89,4435690,0.020543806646525775,0.88715083798883,,,0.88715083798883
2023-05-30,16.9,17.25,16.29,16.57,5829334,-0.018946121965660145,0.851396648044696,,,0.851396648044696
2023-05-31,16.26,16.28,15.35,15.66,10570218,-0.05491852745926373,0.7497206703910644,,,0.7497206703910644
2023-06-01,15.1,15.91,14.45,15.87,14626851,0.013409961685823646,0.7731843575419022,,,0.7731843575419022
2023-06-02,15.94,16.605,15.1814,15.32,13034836,-0.03465658475110267,0.7117318435754216,,,0.7117318435754216
2023-06-05,15.235,15.385,14.83,14.97,7008817,-0.02284595300261094,0.6726256983240249,,,0.6726256983240249
2023-06-06,15.13,16.155,14.97,15.81,15385926,0.05611222444889785,0.7664804469273772,,,0.7664804469273772
2023-06-07,15.81,16.44,15.56,15.67,7092041,-0.008855154965211942,0.7508379888268184,,,0.7508379888268184
2023-06-08,15.81,16.15,15.81,15.91,4143854,0.0153158902361199,0.7776536312849189,,,0.7776536312849189
2023-06-09,16.54,16.64,15.95,16.11,6584242,0.012570710245128902,0.8000000000000029,,,0.8000000000000029
2023-06-12,16.37,16.67,16.2,16.29,4828729,0.011173184357541777,0.8201117318435782,,,0.8201117318435782
2023-06-13,16.99,17.48,16.84,16.87,8579979,0.035604665438919714,0.8849162011173215,,,0.8849162011173215
2023-06-14,16.955,17.77,16.93,17.6,5234061,0.043272080616479025,0.9664804469273776,,,0.9664804469273776
2023-06-15,18.3,18.76,18.18,18.3,6382401,0.03977272727272729,1.044692737430171,,,1.044692737430171
2023-06-16,18.51,18.52,17.36,17.47,7932900,-0.04535519125683074,0.9519553072625728,,,0.9519553072625728
2023-06-20,16.7,16.7,15.8,15.97,8201924,-0.0858614768174012,0.7843575418994442,,,0.7843575418994442
2023-06-21,15.67,16.05,15.505,15.56,4438226,-0.025673137132122714,0.7385474860335224,,,0.7385474860335224
2023-06-22,15.51,15.73,15.2199,15.37,3235633,-0.012210796915167133,0.7173184357541926,,,0.7173184357541926
2023-06-23,15.22,15.259,14.8,14.94,4721726,-0.02797657774886142,0.6692737430167623,,-0.02797657774886142,0.6692737430167623
2023-06-26,15.13,15.4,14.95,14.99,3563688,0.0033467202141901353,0.6748603351955333,,-0.024723487312947268,0.6748603351955333
2023-06-27,15.57,15.72,15.35,15.55,4283601,0.03735823882588396,0.7374301675977681,,0.011711125569290992,0.7374301675977681
2023-06-28,15.32,15.37,14.968,15.31,5062933,-0.015434083601286175,0.7106145251396676,,-0.0039037085230967383,0.7106145251396676
2023-06-29,14.83,15.01,14.63,14.93,3629974,-0.024820378837361212,0.6681564245810083,,-0.028627195836044006,0.6681564245810083
2023-06-30,15.01,15.25,14.89,15.1,2799393,0.011386470194239884,0.6871508379888298,,-0.017566688353935933,0.6871508379888298
2023-07-03,15.72,15.98,15.5204,15.73,3696380,0.04172185430463582,0.7575418994413441,,0.023422251138581984,0.7575418994413441
2023-07-05,15.35,15.4,14.9939,15.26,3713621,-0.029879211697393604,0.7050279329608968,,-0.0071567989590107794,0.7050279329608968
2023-07-06,14.8,14.98,14.42,14.55,4864097,-0.04652686762778502,0.6256983240223493,,-0.053350683148991274,0.6256983240223493
2023-07-07,14.82,15.0,14.6305,14.9,4688256,0.02405498281786933,0.6648044692737458,,-0.03057905009759254,0.6648044692737458
2023-07-10,14.77,15.08,14.58,14.89,3686818,-0.0006711409395973034,0.6636871508379916,,-0.03122966818477535,0.6636871508379916
