date,open,high,low,close,volume,daily return,cumulative return
2022-10-21,33.8,34.98,33.71,34.95,1203981,,
2022-10-24,28.7,32.34,28.0,32.18,8600185,-0.07925608011444929,-0.07925608011444929
2022-10-25,32.91,33.4,31.82,32.94,3633984,0.023617153511497735,-0.057510729613734046
2022-10-26,33.0,35.67,32.87,34.86,3407354,0.058287795992714164,-0.0025751072961373023
2022-10-27,33.83,35.17,33.1,34.46,1557884,-0.011474469305794543,-0.014020028612303226
2022-10-28,33.0,33.99,32.32,33.85,1540103,-0.017701683110853184,-0.03147353361945637
2022-10-31,33.57,34.57,33.57,33.86,1052614,0.00029542097488910457,-0.03118741058655239
2022-11-01,36.5,36.7499,35.06,35.5,2802344,0.04843473124630826,0.01573676680972791
2022-11-02,36.11,37.09,35.44,36.07,1936680,0.01605633802816908,0.03204577968526445
2022-11-03,35.5,38.0,35.48,37.59,2124367,0.0421402827834767,0.07553648068669516
2022-11-04,40.11,40.43,38.31,38.91,3650866,0.03511572226656012,0.11330472103004263
2022-11-07,39.23,40.47,39.23,40.22,1407919,0.03366743767668989,0.15078683834048623
2022-11-08,39.22,40.215,38.64,40.0,1097888,-0.005469915464942798,0.14449213161659502
2022-11-09,39.25,40.09,38.6,38.61,1161951,-0.03475000000000006,0.10472103004291822
2022-11-10,40.96,42.14,40.4,42.11,1854514,0.09065009065009066,0.20486409155937024
2022-11-11,43.51,45.92,42.69,45.61,2765534,0.08311564948943251,0.30500715307582227
2022-11-14,46.05,49.71,45.93,49.01,3170839,0.0745450559087919,0.4022889842632329
2022-11-15,52.2,53.99,51.2,53.86,5370998,0.09895939604162418,0.5410586552217451
2022-11-16,51.63,52.88,50.29,50.35,3029693,-0.06516895655402888,0.440629470672389
2022-11-17,48.41,53.25,48.41,52.26,2809152,0.037934458788480674,0.4952789699570814
2022-11-18,52.0,52.67,49.95,50.62,1588177,-0.03138155376961349,0.4483547925608009
2022-11-21,51.44,54.17,48.8,50.4,5200733,-0.004346108257605619,0.4420600858369097
2022-11-22,49.32,54.6,48.87,54.39,4094365,0.07916666666666661,0.5562231759656651
2022-11-23,55.0,56.44,53.91,56.38,2332571,0.03658760801617955,0.6131616595135909
2022-11-25,54.35,54.58,51.81,52.71,1413449,-0.06509400496630013,0.5081545064377682
2022-11-28,51.3,55.12,51.11,53.49,1836308,0.014797951052931246,0.530472103004292
2022-11-29,56.4,59.38,56.2801,58.5,3891311,0.09366236679753226,0.6738197424892707
2022-11-30,60.01,61.5,59.19,61.49,4897596,0.05111111111111111,0.7593705293276112
2022-12-01,60.11,61.1,59.65,60.95,2012886,-0.008781915758659942,0.7439198855507871
2022-12-02,60.5,67.9,60.36,66.3,5148616,0.08777686628383918,0.8969957081545068
2022-12-05,70.44,70.52,63.05,65.63,5508160,-0.010105580693816063,0.8778254649499286
2022-12-06,66.8,68.38,65.03,67.22,3064634,0.024226725582812803,0.9233190271816885
2022-12-07,64.36,65.48,63.24,65.08,2023473,-0.03183576316572445,0.8620886981402007
2022-12-08,68.29,68.4,66.6801,67.94,2771966,0.043945912722802793,0.9439198855507875
2022-12-09,69.0,70.38,66.38,66.67,2289513,-0.01869296438033552,0.9075822603719608
2022-12-12,65.5,65.78,63.75,65.39,1272271,-0.019199040047997662,0.8709585121602297
2022-12-13,68.63,70.6,68.12,68.85,2379745,0.05291328949380625,0.9699570815450649
2022-12-14,68.63,71.35,68.29,70.33,2678137,0.021496005809731322,1.012303290414879
2022-12-15,71.74,72.2,66.89,67.09,1695449,-0.04606853405374656,0.919599427753935
2022-12-16,66.75,67.82,65.52,66.47,1263969,-0.009241317633030377,0.9018597997138775
2022-12-19,66.49,66.49,63.3,64.71,1277253,-0.026478110425756096,0.8515021459227472
2022-12-20,61.01,63.38,60.61,61.01,2554018,-0.05717817957039095,0.7456366237482122
2022-12-21,61.2,63.005,60.85,62.03,1497244,0.016718570726110604,0.7748211731044357
2022-12-22,64.42,64.47,61.48,62.43,1715888,0.0064484926648396,0.7862660944206017
2022-12-23,62.27,62.85,60.88,62.06,805443,-0.005926637834374415,0.7756795422031484
2022-12-27,63.0,64.9,62.48,64.05,1610206,0.03206574282951968,0.8326180257510738
2022-12-28,63.42,63.74,56.71,58.14,2958468,-0.09227166276346599,0.6635193133047219
2022-12-29,58.0,60.88,57.58,58.91,1291397,0.013243894048847515,0.6855507868383413
2022-12-30,44.3,49.0,39.72,40.65,26943671,-0.30996435240196907,0.16309012875536544
2023-01-03,41.04,41.5599,37.71,37.84,10422343,-0.06912669126691251,0.08268955650929977
2023-01-04,40.22,43.48,39.6,41.24,10808472,0.08985200845665964,0.1799713876967104
2023-01-05,40.8001,47.93,40.6,45.9,10174721,0.11299709020368565,0.3133047210300437
2023-01-06,46.22,46.44,43.45,43.62,4380254,-0.04967320261437913,0.24806866952789774
2023-01-09,47.29,49.96,44.33,44.65,6518358,0.02361302154974787,0.2775393419170251
2023-01-10,46.35,47.98,44.4,47.19,5662385,0.05688689809630465,0.3502145922746791
2023-01-11,46.86,50.65,46.7,49.24,5935080,0.04344140707777089,0.40886981402003
2023-01-12,49.0,49.09,47.22,47.97,3993793,-0.025792038992688893,0.372532188841203
2023-01-13,47.87,53.34,47.77,52.25,6551919,0.08922243068584534,0.4949928469241789
