,date,open,high,low,close,volume,daily return,cumulative return
0,2022-10-03,17050.25,17252.11,16906.96,17079.51,63330895550,,
1,2022-10-05,17811.97,18164.2,17682.85,18087.97,105467602633,0.059045019441424484,0.059045019441424484
2,2022-10-06,18100.48,18143.85,17958.14,18012.15,62496315829,-0.004191736275546698,0.054605782015994864
3,2022-10-07,17851.62,17881.87,17717.73,17740.05,57000572677,-0.015106469799552102,0.03867441161953722
4,2022-10-10,17449.36,17449.36,17174.61,17216.66,95105334112,-0.02950329903241533,0.008030089856208011
5,2022-10-11,17194.73,17206.51,16789.97,16832.36,91210466859,-0.022321402641394927,-0.014470555654113926
6,2022-10-12,16758.27,17040.7,16438.6,16701.03,112802233358,-0.007802233317253271,-0.022159886319923494
7,2022-10-13,16700.65,16736.59,16389.11,16389.11,84991789794,-0.018676692395618644,-0.040422705335223075
8,2022-10-14,16671.68,17028.68,16535.37,16587.69,101935608381,0.012116582291533673,-0.02879590807933008
9,2022-10-17,16479.74,16754.52,16308.95,16612.9,95762809342,0.0015198017324897783,-0.027319870417827907
10,2022-10-18,16860.2,16914.58,16558.41,16914.58,99756279144,0.018159382166870408,-0.009656600218624245
11,2022-10-19,16805.91,16923.12,16508.37,16511.28,84751201691,-0.02384333515818915,-0.033269689821312065
12,2022-10-20,16230.79,16452.97,16010.72,16280.22,126775747725,-0.013994069508844853,-0.04679818097825972
13,2022-10-21,16331.11,16359.04,16137.18,16211.12,93970257902,-0.004244414387520434,-0.050843964493126226
14,2022-10-24,15894.75,15993.88,15082.84,15180.69,161752533286,-0.06356315911547139,-0.11117532060345969
15,2022-10-25,15242.1,15435.37,14947.39,15165.59,143448852186,-0.0009946846948327703,-0.11205942090844512
16,2022-10-26,15096.32,15584.06,15041.4,15317.67,130751207503,0.010027964622543628,-0.10315518419439407
17,2022-10-27,15721.27,15833.28,15410.97,15427.94,122935517673,0.00719887554699894,-0.09669890998043829
18,2022-10-28,15424.94,15441.99,14770.09,14863.06,124619691170,-0.03661409105817115,-0.12977245834335982
19,2022-10-31,14830.69,15113.15,14597.31,14687.02,130991933734,-0.0118441290016994,-0.14007954560757285
20,2022-11-01,14859.92,15632.85,14859.92,15455.27,153811639973,0.052308092451702315,-0.09509874697810394
21,2022-11-02,15389.55,15867.24,15276.76,15827.17,106016629627,0.02406298951749153,-0.07332411761227309
22,2022-11-03,15477.74,15623.18,15301.67,15339.49,98653355679,-0.03081283640726673,-0.10187762997884564
23,2022-11-04,15442.76,16513.16,15442.76,16161.14,188645230468,0.05356436230930761,-0.05377027795293854
24,2022-11-07,16031.79,16821.89,15980.85,16595.91,148595830881,0.026902186355665547,-0.02831462963515885
25,2022-11-08,16640.6,16719.01,16429.81,16557.31,104729344268,-0.0023258742666113497,-0.030574647633333174
26,2022-11-09,16552.8,16730.2,16213.03,16358.52,111296702274,-0.012006177331945866,-0.04221374032393144
27,2022-11-10,16138.22,16138.22,15945.2,16081.04,92108599820,-0.01696241469277171,-0.058460108047595605
28,2022-11-11,17120.05,17368.04,16829.0,17325.66,182585930537,0.07739673553451754,0.014412005965042773
29,2022-11-14,17999.26,18011.64,17518.88,17619.71,204907800238,0.016971936422623957,0.031628542036628016
30,2022-11-15,17665.8,18356.78,17552.3,18343.12,205089159335,0.041056861889327445,0.07398397260811418
31,2022-11-16,18169.21,18414.09,18031.87,18256.48,173295004460,-0.004723296800108079,0.0689112275469268
32,2022-11-17,18071.6,18220.81,17711.84,18045.66,152563172086,-0.011547680604366173,0.05656778209679403
33,2022-11-18,18316.36,18378.06,17910.19,17992.54,139547505691,-0.002943644067326945,0.05345762261329612
34,2022-11-21,17654.15,17746.34,17389.45,17655.91,110294568365,-0.01870942068212722,0.03374804078103044
35,2022-11-22,17625.19,17751.93,17287.6,17424.41,127196509919,-0.013111756913124273,0.02019378776089109
36,2022-11-23,17460.9,17640.84,17375.96,17523.81,96312382226,0.005704640788411375,0.02601362685463582
37,2022-11-24,17684.53,17759.24,17517.12,17660.9,86131380090,0.007823070439590518,0.03404020372949934
38,2022-11-25,17673.2,17673.2,17412.04,17573.58,94798267410,-0.004944255389023211,0.028927644879743086
39,2022-11-28,17000.23,17364.21,16833.68,17297.94,118286912065,-0.015684908823358823,0.012789008583971029
40,2022-11-29,17558.6,18204.68,17536.45,18204.68,166756666301,0.052418958558071216,0.06587835365300432
41,2022-11-30,18141.56,18645.35,18052.32,18597.23,222088613641,0.021563136512149583,0.0888620340981694
42,2022-12-01,19058.9,19237.45,18679.35,18736.44,198563330564,0.007485523381707937,0.09701273631386531
43,2022-12-02,18785.28,18841.22,18530.82,18675.35,142775148915,-0.0032604913206564223,0.09343593580846443
44,2022-12-05,19221.68,19539.6,19035.14,19518.29,222980782233,0.04513650346579867,0.14278981071471208
45,2022-12-06,19211.7,19569.67,19202.87,19441.18,165003861803,-0.003950653464007359,0.13827504419037973
46,2022-12-07,19380.8,19737.31,18799.81,18814.82,207416416906,-0.032218208977027096,0.10160186094331936
47,2022-12-08,18965.05,19521.6,18965.05,19450.23,160694115631,0.033771782031398745,0.1388049188764804
48,2022-12-09,19484.23,19926.48,19404.5,19900.87,199446926385,0.023168877694505374,0.16518975075983078
49,2022-12-12,19594.52,19718.08,19366.22,19463.63,158751378213,-0.021970898759702373,0.13958948471004362
50,2022-12-13,19458.02,19707.75,19382.3,19596.2,124088179105,0.006811165234850813,0.1473514169903023
51,2022-12-14,19775.33,19859.75,19528.71,19673.45,136364073263,0.003942090813525034,0.1518743804711047
52,2022-12-15,19612.67,19675.68,19233.86,19368.59,105617782153,-0.015496011121587716,0.13402492226065243
53,2022-12-16,19343.7,19621.13,19130.53,19450.67,136026194340,0.00423778912145889,0.13883068073967197
54,2022-12-19,19472.21,19786.29,19255.95,19352.81,100665361706,-0.005031189156980087,0.13310100816709824
55,2022-12-20,19156.94,19283.14,18885.2,19094.8,96257919801,-0.013331914073460238,0.11799460288966324
56,2022-12-21,19190.91,19255.74,19063.3,19160.49,69286083758,0.003440203615644233,0.12184073196479495
57,2022-12-22,19537.45,19735.0,19475.68,19679.22,101469091638,0.02707289844883931,0.1522122121770495
58,2022-12-23,19382.23,19686.77,19380.47,19593.06,79959117836,-0.0043782223075914395,0.1471675709666167
59,2022-12-28,19787.94,20099.77,19787.94,19898.91,121952631323,0.01561011909318899,0.1650749933692499
60,2022-12-29,19648.4,19764.52,19539.84,19741.14,90752677830,-0.00792857498224775,0.15583760892438003
61,2022-12-30,20030.85,20073.92,19781.41,19781.41,87020250676,0.002039902457507514,0.15819540490330453
62,2023-01-03,19570.43,20212.55,19303.73,20145.29,120652718237,0.018395048684598292,0.17950046576277878
63,2023-01-04,20319.98,20793.11,20233.39,20793.11,149636024225,0.03215739262130257,0.21743012533732164
64,2023-01-05,21295.87,21396.09,20962.4,21052.17,174163850258,0.012458934714431713,0.23259800778828166
65,2023-01-06,21220.89,21282.71,20862.77,20991.64,148275091429,-0.002875238039593997,0.22905399510876112
66,2023-01-09,21295.94,21470.69,21216.92,21388.34,156422737056,0.018897999394044573,0.2522806567635745
67,2023-01-10,21370.42,21395.42,21187.73,21331.46,131355837117,-0.002659392921563808,0.24895035044916614
68,2023-01-11,21463.82,21686.3,21327.41,21436.05,165846933201,0.004903086802309886,0.25507406242919384
69,2023-01-12,21599.82,21698.94,21223.84,21514.1,159583553259,0.003641062602484979,0.25964386566125364
70,2023-01-13,21605.07,21770.08,21474.98,21738.66,133010746384,0.010437805904035091,0.2727917838392342
71,2023-01-16,21818.65,21947.55,21572.51,21746.72,140769557641,0.000370768023420176,0.2732636943331537
72,2023-01-17,21678.05,21797.62,21417.25,21577.64,126720042547,-0.007774965604008366,0.2633641129048807
73,2023-01-18,21514.8,21691.67,21422.19,21678.0,127834479717,0.004651111057557777,0.2692401597001344
74,2023-01-19,21452.26,21754.08,21383.03,21650.98,92596858853,-0.0012464249469508193,0.26765814710141234
75,2023-01-20,21812.46,22051.77,21754.35,22044.65,95132610725,0.018182548780701913,0.2907074031983379
76,2023-01-26,22386.37,22566.78,22329.07,22566.78,119554513001,0.02368511180717303,0.32127795235343637
77,2023-01-27,22614.92,22700.85,22483.78,22688.9,97250080868,0.0054114942406493505,0.32842804038289386
78,2023-01-30,22579.88,22623.81,21992.51,22069.73,203247599380,-0.027289555685820033,0.2921758294002601
79,2023-01-31,22190.27,22284.32,21631.55,21842.33,173821840839,-0.01030370557319904,0.2788616301053155
80,2023-02-01,21920.8,22072.18,21703.6,22072.18,155574347090,0.010523144737763612,0.2923192761384861
