date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2020-11-24,2.93,2.9884,2.8601,2.98,31190,,,,,
2020-11-25,2.99,3.02,2.9401,3.0155,35318,0.011912751677852329,0.011912751677852329,,,0.011912751677852329
2020-11-27,3.05,3.05,2.96,3.03,13927,0.004808489471066046,0.016778523489932695,,,0.016778523489932695
2020-11-30,3.05,3.05,2.9505,3.0,40608,-0.009900990099009799,0.006711409395973034,,,0.006711409395973034
2020-12-01,2.97,3.0946,2.97,3.0946,15051,0.03153333333333319,0.038456375838925805,,,0.038456375838925805
2020-12-02,3.1,3.48,2.99,3.34,108083,0.07929942480449825,0.12080536912751638,,,0.12080536912751638
2020-12-03,3.4,3.74,3.31,3.51,96312,0.05089820359281427,0.17785234899328817,,,0.17785234899328817
2020-12-04,3.59,3.75,3.54,3.5698,20187,0.01703703703703696,0.19791946308724784,,,0.19791946308724784
2020-12-07,3.6324,3.65,3.43,3.565,38922,-0.001344613143593465,0.1963087248322144,,,0.1963087248322144
2020-12-08,3.64,3.7,3.41,3.53,10498,-0.009817671809256745,0.1845637583892612,,,0.1845637583892612
2020-12-09,3.46,3.5,3.4009,3.49,15247,-0.011331444759206666,0.17114093959731513,,,0.17114093959731513
2020-12-10,3.49,3.495,3.43,3.44,2525,-0.014326647564469996,0.15436241610738222,,,0.15436241610738222
2020-12-11,3.44,3.55,3.31,3.55,10282,0.03197674418604657,0.19127516778523468,,,0.19127516778523468
2020-12-14,3.43,3.56,3.4002,3.5,12908,-0.014084507042253502,0.17449664429530176,,,0.17449664429530176
2020-12-15,3.42,3.7,3.42,3.67,31065,0.04857142857142849,0.23154362416107355,,,0.23154362416107355
2020-12-16,3.62,3.7,3.5259,3.58,14386,-0.024523160762942697,0.20134228187919456,,,0.20134228187919456
2020-12-17,3.65,3.6575,3.5,3.64,11150,0.016759776536312776,0.22147651006711389,,,0.22147651006711389
2020-12-18,3.7,3.7,3.5798,3.66,17178,0.005494505494505475,0.22818791946308692,,,0.22818791946308692
2020-12-21,3.49,3.63,3.4501,3.59,33474,-0.019125683060109422,0.20469798657718075,,,0.20469798657718075
2020-12-22,3.6425,3.67,3.5,3.6,24971,0.0027855153203342198,0.20805369127516737,,,0.20805369127516737
2020-12-23,3.64,3.69,3.49,3.64,23007,0.011111111111111072,0.22147651006711366,,,0.22147651006711366
2020-12-24,3.6855,3.7207,3.61,3.63,6075,-0.0027472527472528485,0.21812080536912704,,,0.21812080536912704
2020-12-28,3.68,3.74,3.59,3.69,10738,0.016528925619834656,0.23825503355704636,,,0.23825503355704636
2020-12-29,3.74,3.99,3.7,3.8201,52106,0.03525745257452573,0.2819127516778517,,,0.2819127516778517
2020-12-30,3.85,3.97,3.83,3.9,22362,0.020915682835527916,0.30872483221476443,,,0.30872483221476443
2020-12-31,3.98,4.0,3.675,3.85,34778,-0.012820512820512775,0.2919463087248315,,,0.2919463087248315
2021-01-04,3.86,3.99,3.85,3.93,26446,0.020779220779220786,0.3187919463087241,,,0.3187919463087241
