date,open,high,low,close,volume,daily return,cumulative return
2022-10-21,116.46,122.39,116.33,122.23,20593310,,
2022-10-24,122.07,123.1,121.33,122.38,12624177,0.00122719463306864,0.00122719463306864
2022-10-25,121.85,123.2707,120.89,122.7,11289101,0.0026148063409054956,0.0038452098502821386
2022-10-26,123.0,125.2,122.88,124.11,11671494,0.011491442542787222,0.015380839401128776
2022-10-27,125.2,126.2,124.21,124.6,10727612,0.003948110547095318,0.01938967520248691
2022-10-28,125.29,126.28,124.05,126.08,11859472,0.011878009630818642,0.03149799558209909
2022-10-31,125.7,127.43,125.59,125.88,13295173,-0.0015862944162436943,0.029861736071340683
2022-11-01,126.87,128.28,126.33,128.15,13386945,0.01803304734667943,0.04843328151844872
2022-11-02,127.65,130.36,126.64,126.97,16546085,-0.009207959422551704,0.038779350404974045
2022-11-03,126.31,128.18,125.91,127.2,12474358,0.0018114515239819884,0.040661048842346226
2022-11-04,129.49,130.83,128.46,130.68,14354353,0.027358490566037785,0.0691319643295425
2022-11-07,131.0,132.29,130.4816,131.37,12011157,0.005280073461891632,0.07477705964165904
2022-11-08,131.24,132.06,130.14,131.45,9884053,0.0006089670396589586,0.07543156344596236
2022-11-09,131.32,131.43,129.22,129.74,9493961,-0.013008748573602014,0.06144154462897822
2022-11-10,132.63,135.25,132.53,135.08,16351589,0.04115924156004325,0.10512967356622771
2022-11-11,135.19,136.17,133.7805,135.3,10704664,0.0016286644951140072,0.1069295590280619
2022-11-14,134.8,135.73,133.91,133.91,11085604,-0.01027346637102744,0.09555755542829081
2022-11-15,134.68,135.71,131.6,132.94,14038346,-0.007243671122395656,0.08762169680111254
2022-11-16,133.0,133.56,132.03,133.12,7893359,0.001353994283135318,0.08909433036079517
2022-11-17,132.0,132.89,131.28,132.54,8824558,-0.004356971153846256,0.08434917777959572
2022-11-18,134.57,134.67,132.28,133.84,9468537,0.009808359740455908,0.09498486459952549
2022-11-21,133.74,134.56,132.75,133.05,7800517,-0.005902570233114135,0.08852163953202985
2022-11-22,134.0,135.27,133.69,135.04,9185670,0.014956783164223886,0.10480242166407594
2022-11-23,134.94,136.5,134.86,136.48,7316204,0.010663507109004655,0.11658349014153635
2022-11-25,136.48,137.14,136.055,136.74,3220496,0.0019050410316532318,0.11871062750552253
2022-11-28,136.07,136.71,134.19,134.35,9907551,-0.017478426210326248,0.0991573263519594
