date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-11-23,134.94,136.5,134.86,136.48,7316204,,,,,
2022-11-25,136.48,137.14,136.055,136.74,3220496,0.0019050410316532318,0.0019050410316532318,,,0.0019050410316532318
2022-11-28,136.07,136.71,134.19,134.35,9907551,-0.017478426210326248,-0.0156066822977724,,,-0.0156066822977724
2022-11-29,134.66,136.64,134.41,136.56,7925322,0.016449572013397917,0.0005861664712780712,,,0.0005861664712780712
2022-11-30,136.09,138.18,133.19,138.18,14761248,0.011862917398945516,0.012456037514654295,,,0.012456037514654295
2022-12-01,138.18,138.66,135.43,136.24,8858472,-0.014039658416558076,-0.0017584994138333254,,,-0.0017584994138333254
2022-12-02,134.49,135.35,133.34,135.16,8932057,-0.00792718731650044,-0.0096717467760844,,,-0.0096717467760844
2022-12-05,134.24,134.57,130.6,131.37,10154531,-0.028040840485350604,-0.03744138335287217,,,-0.03744138335287217
2022-12-06,133.39,135.11,129.87,131.59,13966691,0.0016746593590621917,-0.035829425556858085,,,-0.035829425556858085
2022-12-07,131.31,133.08,130.33,131.5,11739425,-0.0006839425488259776,-0.03648886283704578,,,-0.03648886283704578
2022-12-08,132.33,132.98,131.43,132.88,8907257,0.010494296577946649,-0.0263774912075031,,,-0.0263774912075031
2022-12-09,132.2,133.76,132.0,132.16,7957818,-0.005418422636965681,-0.03165298944900363,,,-0.03165298944900363
2022-12-12,132.4,134.65,131.6,134.21,8841631,0.015511501210653922,-0.016632473622508748,,,-0.016632473622508748
2022-12-13,136.885,137.09,133.08,134.08,10025383,-0.0009686312495342797,-0.017584994138335253,,,-0.017584994138335253
2022-12-14,133.78,135.71,132.76,133.41,9966115,-0.004997016706444035,-0.02249413833528735,,,-0.02249413833528735
2022-12-15,131.145,132.08,129.05,130.1,12090286,-0.02481073382804888,-0.04674677608440814,,,-0.04674677608440814
2022-12-16,129.15,129.9,128.425,129.29,21133707,-0.0062259800153727785,-0.05268171160609625,,,-0.05268171160609625
2022-12-19,129.65,131.33,129.09,130.06,9017156,0.005955603681645938,-0.04703985932004695,,,-0.04703985932004695
2022-12-20,130.97,132.05,130.2,130.69,8549927,0.004843918191603791,-0.042423798358734,,,-0.042423798358734
2022-12-21,132.18,132.98,131.77,132.16,8051704,0.0112479914301018,-0.03165298944900363,,,-0.03165298944900363
2022-12-22,131.1,131.3,128.41,130.66,8651131,-0.011349878934624691,-0.04264361078546319,,,-0.04264361078546319
2022-12-23,130.58,131.44,129.64,131.28,5091905,0.004745140058166175,-0.03810082063305997,,,-0.03810082063305997
2022-12-27,131.57,132.22,130.55,131.74,5410991,0.003503960999390765,-0.03473036342321223,,,-0.03473036342321223
2022-12-28,131.85,133.41,131.01,132.46,8827738,0.005465310459996875,-0.029454865181711698,,,-0.029454865181711698
2022-12-29,132.93,133.27,132.31,133.22,6585228,0.005737581156575411,-0.023886283704572353,,,-0.023886283704572353
2022-12-30,132.81,134.33,132.44,134.1,9292519,0.006605614772556612,-0.017438452520516123,,,-0.017438452520516123
2023-01-03,135.24,136.74,133.89,135.12,11054778,0.0076062639821030675,-0.009964830011723436,,,-0.009964830011723436
