date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-10-28,13.93,14.51,13.75,14.26,12295456,,,,,
2022-10-31,13.865,14.18,13.09,13.62,14725972,-0.04488078541374474,-0.04488078541374474,,,-0.04488078541374474
2022-11-01,15.02,15.15,13.97,14.56,21373939,0.06901615271659334,0.02103786816269304,,,0.02103786816269304
2022-11-02,15.51,17.09,15.37,16.32,38737418,0.1208791208791209,0.14446002805049107,,,0.14446002805049107
2022-11-03,15.92,17.37,15.88,16.75,18659291,0.026348039215686292,0.17461430575035086,,,0.17461430575035086
2022-11-04,18.9,19.21,17.67,18.31,21855290,0.0931343283582089,0.2840112201963536,,,0.2840112201963536
2022-11-07,19.05,19.39,18.05,18.16,13579582,-0.008192244675040872,0.2734922861150073,,,0.2734922861150073
2022-11-08,17.58,18.535,17.4,18.47,9945307,0.017070484581497736,0.2952314165497898,,,0.2952314165497898
2022-11-09,17.415,17.795,16.09,16.18,15431789,-0.12398484028153756,0.13464235624123444,,,0.13464235624123444
2022-11-10,18.02,18.34,17.07,17.41,14257625,0.07601977750309019,0.22089761570827515,,,0.22089761570827515
2022-11-11,18.23,19.405,17.65,18.97,14223808,0.08960367604824815,0.3302945301542779,,,0.3302945301542779
2022-11-14,18.84,19.49,17.96,17.96,10693002,-0.053241960991038395,0.259467040673212,,,0.259467040673212
2022-11-15,19.05,19.63,18.73,18.94,12150127,0.05456570155901996,0.32819074333800846,,,0.32819074333800846
2022-11-16,18.45,18.61,17.56,17.77,8232832,-0.06177402323125669,0.24614305750350618,,,0.24614305750350618
2022-11-17,17.23,18.39,16.96,18.36,10994701,0.03320202588632526,0.28751753155680215,,,0.28751753155680215
2022-11-18,18.087,18.19,17.65,17.88,5720697,-0.02614379084967322,0.2538569424964936,,,0.2538569424964936
2022-11-21,17.46,17.58,16.78,17.57,5878358,-0.01733780760626391,0.23211781206171112,,,0.23211781206171112
2022-11-22,16.91,17.06,16.25,16.73,9794244,-0.047808764940239,0.1732117812061711,,,0.1732117812061711
2022-11-23,17.2,17.8299,16.97,17.33,7367623,0.035863717872085976,0.21528751753155673,,,0.21528751753155673
2022-11-25,16.9501,16.97,16.22,16.81,3977436,-0.030005770340450044,0.17882187938288907,,,0.17882187938288907
