date,open,high,low,close,volume,daily return,cumulative return
2022-10-21,76.61,79.53,76.22,79.22,8148977,,
2022-10-24,79.53,81.1,78.57,79.43,8143314,0.002650845746023922,0.002650845746023922
2022-10-25,78.61,80.67,78.61,80.51,8173623,0.013596877753997205,0.01628376672557441
2022-10-26,80.6,82.05,80.58,80.91,7733582,0.00496832691591087,0.021332996718000263
2022-10-27,82.0,82.48,80.6,80.69,6466355,-0.002719070572240745,0.0185559202221659
2022-10-28,80.27,82.295,79.51,82.22,7816061,0.018961457429669037,0.03786922494319578
2022-10-31,81.77,83.36,81.695,82.17,9087417,-0.0006081245439065741,0.037238071194142464
2022-11-01,83.25,83.97,82.985,83.72,8195594,0.018863332116344056,0.05680383741479367
2022-11-02,83.45,86.72,83.42,84.37,10908368,0.007763975155279601,0.06500883615248632
2022-11-03,83.06,84.625,82.55,83.62,6447213,-0.008889415669076639,0.05554152991668726
2022-11-04,85.15,85.75,84.0,84.85,6929939,0.014709399665151723,0.07106791214339747
2022-11-07,85.52,86.13,85.11,85.57,4599606,0.008485562757807985,0.08015652612976454
2022-11-08,85.61,86.23,84.5068,85.28,4850471,-0.0033890382143273445,0.07649583438525576
2022-11-09,84.88,85.34,83.19,83.45,5200773,-0.021458724202626622,0.05339560716990621
2022-11-10,86.69,88.98,86.52,88.8,10013851,0.06411024565608137,0.12092905831860579
2022-11-11,89.0,91.6914,89.0,90.78,9119091,0.022297297297297236,0.14592274678111528
2022-11-14,90.27,91.36,89.7858,89.81,4873524,-0.010685172945582688,0.13367836404948186
2022-11-15,91.07,91.8593,89.36,90.5,7336133,0.007682886092862606,0.14238828578641693
2022-11-16,90.47,90.47,89.06,89.82,4368584,-0.007513812154696153,0.13380459479929252
2022-11-17,88.69,89.12,87.51,88.95,4967646,-0.009686038744154857,0.12282251956576573
2022-11-18,90.27,90.37,88.59,89.2,5450715,0.0028105677346823565,0.12597828831103208
2022-11-21,89.06,89.68,88.57,89.08,4667333,-0.0013452914798206539,0.12446351931330413
2022-11-22,89.59,90.19,89.3,89.67,3804207,0.006623259991019426,0.1319111335521328
2022-11-23,89.72,90.45,89.67,89.93,4961375,0.0028995204639232774,0.1351931330472098
2022-11-25,89.65,91.0799,89.47,90.91,2450129,0.010897364616924143,0.14756374652865367
2022-11-28,90.2,91.1,89.7,89.89,6147890,-0.01121988780112193,0.13468821004796716
2022-11-29,89.64,91.4696,89.6,91.08,5307067,0.013238402491934531,0.14970966927543494
2022-11-30,91.28,93.25,89.13,93.07,10520622,0.021848924022837002,0.17482958848775487
2022-12-01,93.06,93.49,92.04,93.0,7310493,-0.0007521220586654831,0.17394597323908023
2022-12-02,91.86,92.66,91.51,92.1,5198046,-0.00967741935483879,0.16258520575612123
2022-12-05,91.48,91.72,89.085,89.81,8272542,-0.024864277958740466,0.13367836404948163
2022-12-06,89.62,89.76,86.41,87.51,10424660,-0.02560962030954228,0.10464529159303138
2022-12-07,86.82,88.03,86.71,87.28,7066928,-0.0026282710547366195,0.10174198434738635
2022-12-08,87.675,88.7898,87.0,88.69,6141438,0.0161549037580202,0.1195405200706885
2022-12-09,88.68,89.76,88.37,89.47,6488330,0.008794678092231445,0.12938651855591954
2022-12-12,89.01,91.325,88.28,91.12,7496298,0.018441935844417223,0.1502145922746776
2022-12-13,93.66,95.16,92.07,92.71,10330522,0.017449517120280866,0.17028528149457145
2022-12-14,92.51,92.68,89.87,90.5,7704625,-0.023837773702944598,0.14238828578641693
2022-12-15,89.15,89.19,86.92,87.79,8795656,-0.02994475138121544,0.10817975258772972
2022-12-16,86.53,86.87,85.83,86.86,17262199,-0.010593461669894166,0.09644029285533873
2022-12-19,86.74,87.04,84.955,85.55,5129600,-0.0150817407322128,0.07990406463014299
2022-12-20,85.92,86.452,85.135,85.16,5206789,-0.004558737580362404,0.07498106538752736
2022-12-21,86.41,87.815,86.35,86.87,5422645,0.020079849694692342,0.09656652360514917
2022-12-22,86.58,86.58,84.77,86.37,5635293,-0.005755726948313611,0.09025498611461646
2022-12-23,86.33,86.58,85.35,86.11,3316076,-0.0030103045038787357,0.08697298661953945
2022-12-27,86.36,86.36,84.94,85.06,7064695,-0.012193705725235149,0.07371875788942073
2022-12-28,84.96,85.21,84.06,84.46,3714932,-0.007053844345168203,0.0661449129007814
2022-12-29,84.96,85.5869,84.56,85.24,3461779,0.00923514089509836,0.07599091138601244
2022-12-30,84.695,85.2033,84.175,85.02,4455649,-0.0025809479117785417,0.07321383489017808
2023-01-03,85.635,86.6,84.98,85.72,5108896,0.008233356857210161,0.08204998737692404
2023-01-04,85.55,87.35,85.175,86.65,7726771,0.01084927671488578,0.09378944710931503
2023-01-05,85.9,86.1674,84.83,85.92,5339886,-0.008424697057126451,0.0845746023731373
2023-01-06,86.44,87.96,85.71,87.56,5710882,0.019087523277467433,0.10527644534208447
2023-01-09,88.245,88.9125,87.41,87.64,5039731,0.000913659205116435,0.10628629134056955
2023-01-10,87.55,88.93,86.84,88.92,4536581,0.01460520310360569,0.1224438273163333
2023-01-11,89.37,89.81,88.85,89.43,6122565,0.005735492577597867,0.12888159555667666
2023-01-12,90.02,91.81,89.35,90.53,7895610,0.012300123001229846,0.14276697803584848
2023-01-13,89.03,91.98,88.27,91.66,8414580,0.012482050149121848,0.15703105276445228
2023-01-17,95.9,99.1,95.0,97.08,27914269,0.05913157320532414,0.22544811916182672
2023-01-18,96.8,97.95,96.335,96.58,14134783,-0.005150391429748713,0.21913658167129402
2023-01-19,94.61,94.98,92.94,94.15,13457057,-0.025160488714019436,0.18846250946730514
2023-01-20,94.13,96.28,93.88,96.24,10785021,0.022198619224641503,0.2148447361777317
2023-01-23,95.87,97.22,95.49,97.13,8735303,0.009247714048212785,0.2260792729108798
2023-01-24,96.28,96.81,89.14,95.51,4801638,-0.01667867806033141,0.20562989144155397
