date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-10-27,231.04,233.69,225.78,226.75,40424645,,,,,
2022-10-28,226.24,236.6,226.05,235.87,40647724,0.040220507166482955,0.040220507166482955,,,0.040220507166482955
2022-10-31,233.76,234.92,231.15,232.13,28357265,-0.01585619197015309,0.023726571113561246,,,0.023726571113561246
2022-11-01,234.6,235.74,227.325,228.17,30592271,-0.017059406367121888,0.006262403528114691,,,0.006262403528114691
2022-11-02,229.46,231.3,220.04,220.1,38407008,-0.035368365692246995,-0.029327453142227067,,,-0.029327453142227067
2022-11-03,220.09,220.41,213.98,214.25,36633922,-0.02657882780554288,-0.05512679162072753,,,-0.05512679162072753
2022-11-04,217.55,221.59,213.431,221.39,36789063,0.033325554259043155,-0.023638368246967856,,,-0.023638368246967856
2022-11-07,221.99,228.41,221.28,227.87,33497979,0.029269614707078118,0.004939360529217396,,,0.004939360529217396
2022-11-08,228.7,231.65,225.84,228.87,28192548,0.004388467108439098,0.009349503858875785,,,0.009349503858875785
2022-11-09,227.37,228.6327,224.33,224.51,27852910,-0.019050115786254262,-0.009878721058434126,,,-0.009878721058434126
2022-11-10,235.43,243.33,235.0,242.98,46268021,0.08226805042091656,0.07157662624035299,,,0.07157662624035299
2022-11-11,242.99,247.99,241.93,247.11,34620246,0.01699728372705578,0.08979051819184147,,,0.08979051819184147
2022-11-14,241.985,243.91,239.21,241.55,31123340,-0.022500101169519615,0.06527012127894194,,,0.06527012127894194
2022-11-15,245.66,247.0,240.03,241.97,31390117,0.0017387704409024263,0.06712238147739824,,,0.06712238147739824
2022-11-16,242.79,243.8,240.42,241.73,24093272,-0.0009918584948547249,0.06606394707828023,,,0.06606394707828023
2022-11-17,237.78,243.25,237.63,241.68,23123544,-0.00020684234476475716,0.06584343991179731,,,0.06584343991179731
2022-11-18,243.51,243.74,239.03,241.22,27613523,-0.0019033432638199121,0.06381477398015445,,,0.06381477398015445
2022-11-21,241.43,244.67,241.19,242.05,26394700,0.0034408423845453395,0.06747519294377091,,,0.06747519294377091
2022-11-22,243.59,245.31,240.71,245.03,19665699,0.012311505887213414,0.08061742006615247,,,0.08061742006615247
2022-11-23,245.105,248.28,244.27,247.58,19508462,0.010406888952373183,0.09186328555678092,,,0.09186328555678092
2022-11-25,247.31,248.7,246.73,247.49,9200772,-0.0003635188625898955,0.09146637265711166,,,0.09146637265711166
2022-11-28,246.08,246.65,240.8,241.76,24810271,-0.0231524506040649,0.06619625137816998,,,0.06619625137816998
2022-11-29,241.4,242.79,238.21,240.33,17956313,-0.005914956982130959,0.05988974641675893,,,0.05988974641675893
2022-11-30,240.57,255.33,239.86,255.14,47594239,0.061623600882120266,0.125203969128997,,,0.125203969128997
2022-12-01,253.87,256.12,250.9156,254.69,26041524,-0.0017637375558516855,0.12321940463065073,,,0.12321940463065073
2022-12-02,249.82,256.06,249.69,255.02,21528520,0.0012956928030154469,0.124674751929438,,,0.124674751929438
2022-12-05,252.01,253.819,248.06,250.2,23435294,-0.01890047839385156,0.10341786108048523,,,0.10341786108048523
2022-12-06,250.82,251.86,243.78,245.12,22463727,-0.020303756994404454,0.0810143329658215,,,0.0810143329658215
2022-12-07,244.83,246.16,242.205,244.37,20481522,-0.0030597258485639545,0.07770672546857793,,,0.07770672546857793
2022-12-08,244.84,248.74,243.06,247.4,22611757,0.012399230674796424,0.0910694597574424,,,0.0910694597574424
2022-12-09,244.695,248.31,244.16,245.42,20609743,-0.008003233629749418,0.08233737596471902,,,0.08233737596471902
2022-12-12,247.445,252.54,247.17,252.51,30665069,0.028889251079781575,0.11360529217199566,,,0.11360529217199566
2022-12-13,261.69,263.915,253.07,256.92,42196884,0.017464654865154028,0.1330540242557885,,,0.1330540242557885
2022-12-14,257.13,262.588,254.31,257.22,35410933,0.0011676786548342477,0.134377067254686,,,0.134377067254686
2022-12-15,253.72,254.2,247.34,249.01,35568093,-0.031918202317082756,0.09816979051819197,,,0.09816979051819197
2022-12-16,248.55,249.84,243.51,244.69,86101994,-0.01734870085538731,0.07911797133406862,,,0.07911797133406862
2022-12-19,244.86,245.21,238.71,240.45,29696436,-0.017328047733867424,0.06041896361631771,,,0.06041896361631771
2022-12-20,239.4,242.91,238.42,241.8,25150802,0.005614472863381348,0.06637265711135654,,,0.06637265711135654
2022-12-21,241.69,245.615,240.11,244.43,23690607,0.010876757650951197,0.07797133406835766,,,0.07797133406835766
2022-12-22,241.255,241.99,233.87,238.19,28651664,-0.025528781246164534,0.05045203969129042,,,0.05045203969129042
2022-12-23,236.11,238.87,233.9428,238.73,21206982,0.0022670976951173483,0.05283351708930595,,,0.05283351708930595
2022-12-27,238.7,238.93,235.83,236.96,16688648,-0.007414233653080804,0.04502756339581104,,,0.04502756339581104
2022-12-28,236.89,239.72,234.17,234.53,17457104,-0.010254895340985892,0.0343109151047416,,,0.0343109151047416
2022-12-29,235.65,241.92,235.65,241.01,19770693,0.027629727540186666,0.06288864388092685,,,0.06288864388092685
