date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-11-23,285.91,292.47,283.76,291.5,5918988,,,,,
2022-11-25,289.0,289.21,284.17,285.54,3235953,-0.020445969125214347,-0.020445969125214347,,,-0.020445969125214347
2022-11-28,284.0,289.55,280.53,281.17,4707049,-0.015304335644743317,-0.035437392795883316,,,-0.035437392795883316
2022-11-29,282.5,282.96,275.94,280.96,5786874,-0.0007468791122809959,-0.03615780445969141,,,-0.03615780445969141
2022-11-30,281.37,308.26,280.41,305.53,16070120,0.08745017084282458,0.04813036020583161,,,0.04813036020583161
2022-12-01,303.99,319.8,303.03,316.95,14664866,0.037377671587078165,0.08730703259005113,,,0.08730703259005113
2022-12-02,310.49,321.99,310.0,320.41,12690602,0.010916548351475042,0.09917667238421934,,,0.09917667238421934
2022-12-05,316.46,322.77,310.92,312.59,8423029,-0.024406229518429634,0.07234991423670634,,,0.07234991423670634
2022-12-06,311.0,313.2231,303.13,305.56,7195395,-0.02248952301737095,0.04823327615780415,,,0.04823327615780415
2022-12-07,306.5,309.61,302.1,308.42,7821634,0.009359863856525763,0.058044596912521174,,,0.058044596912521174
2022-12-08,309.11,312.38,304.8098,310.26,7205326,0.005965890668568674,0.06435677530017103,,,0.06435677530017103
2022-12-09,321.45,329.0,319.52,320.01,14364032,0.03142525623670478,0.09780445969125173,,,0.09780445969125173
2022-12-12,320.0,323.18,308.85,315.18,10148614,-0.01509327833505203,0.0812349914236703,,,0.0812349914236703
2022-12-13,328.0,332.7236,317.199,320.34,10756428,0.016371597182562203,0.09893653516294965,,,0.09893653516294965
2022-12-14,318.97,324.71,314.42,317.83,7543291,-0.007835424861085016,0.09032590051457934,,,0.09032590051457934
2022-12-15,302.12,303.39,286.55,290.41,17724556,-0.08627253563225612,-0.0037392795883364194,,,-0.0037392795883364194
2022-12-16,288.76,294.7199,288.7,290.71,14080045,0.0010330222788470511,-0.002710120068610933,,,-0.002710120068610933
2022-12-19,289.73,292.25,286.13,288.3,6163667,-0.00829004850194337,-0.010977701543739449,,,-0.010977701543739449
2022-12-20,281.24,289.28,280.81,288.19,6918114,-0.00038154699965320393,-0.01135506003430553,,,-0.01135506003430553
2022-12-21,289.99,300.66,286.5,297.96,6376173,0.03390124570595776,0.022161234991423306,,,0.022161234991423306
2022-12-22,298.09,298.88,290.8131,297.75,7856192,-0.0007047925896093155,0.021440823327615544,,,0.021440823327615544
2022-12-23,296.18,298.4614,291.91,294.965,4251108,-0.009353484466834705,0.011886792452829864,,,0.011886792452829864
2022-12-27,293.19,293.57,282.13,284.17,5778098,-0.03659756242266021,-0.025145797598628006,,,-0.025145797598628006
2022-12-28,281.92,285.19,273.41,276.88,5964369,-0.025653658021606907,-0.050154373927959184,,,-0.050154373927959184
2022-12-29,283.18,295.4999,281.01,291.12,9588527,0.05143022247905238,-0.0013036020583193642,,,-0.0013036020583193642
2022-12-30,285.53,295.01,283.22,294.88,7566892,0.012915636163781219,0.011595197255574341,,,0.011595197255574341
2023-01-03,298.06,298.39,288.7,294.95,6763964,0.00023738469886058766,0.011835334476843595,,,0.011835334476843595
2023-01-04,298.24,311.135,295.51,309.41,9345054,0.04902525851839301,0.06144082332761558,,,0.06144082332761558
2023-01-05,307.0,314.18,304.545,309.7,8328390,0.000937267703047695,0.062435677530017,,,0.062435677530017
2023-01-06,311.57,316.77,303.69,315.55,8959839,0.018889247659025,0.0825042881646656,,,0.0825042881646656
2023-01-09,316.83,321.7,313.22,315.17,6766628,-0.00120424655363649,0.08120068610634656,,,0.08120068610634656
2023-01-10,311.07,329.35,311.07,327.54,13072286,0.03924865945362832,0.12363636363636377,,,0.12363636363636377
2023-01-11,326.5,328.88,321.35,327.26,9579681,-0.000854857421994315,0.12267581475128653,,,0.12267581475128653
2023-01-12,332.5,332.95,323.14,330.13,10856246,0.008769785491657967,0.13252144082332773,,,0.13252144082332773
2023-01-13,329.97,336.65,328.885,332.82,8286816,0.00814830521309795,0.1417495711835337,,,0.1417495711835337
2023-01-17,331.08,332.5,323.6,326.22,9246987,-0.01983053903010623,0.11910806174957167,,,0.11910806174957167
2023-01-18,326.75,330.08,321.25,326.33,7814115,0.0003371957574640483,0.11948542024013742,,,0.11948542024013742
2023-01-19,322.57,324.89,313.39,315.78,18008195,-0.03232923727515091,0.08329331046312194,,,0.08329331046312194
2023-01-20,336.79,344.0,332.625,342.5,28430339,0.08461587180948782,0.17495711835334515,,,0.17495711835334515
2023-01-23,341.715,362.2453,340.6329,357.42,15646853,0.043562043795620564,0.2261406518010296,,,0.2261406518010296
2023-01-24,357.53,365.65,355.1401,363.83,11796528,0.017934083151474267,0.248130360205832,,,0.248130360205832
2023-01-25,360.57,368.8999,358.501,367.96,7766907,0.011351455350026018,0.26229845626072046,,,0.26229845626072046
2023-01-26,368.77,369.02,361.7,364.87,8256844,-0.0083976519186868,0.2516981132075473,,,0.2516981132075473
