date,open,high,low,close,volume,daily return,cumulative return
2022-10-21,7.8,8.21,7.61,8.13,21934412,,
2022-10-24,7.25,7.27,6.25,7.16,60411386,-0.11931119311193117,-0.11931119311193117
2022-10-25,7.35,7.99,7.27,7.94,33409426,0.1089385474860336,-0.02337023370233704
2022-10-26,7.87,8.525,7.84,8.19,34750085,0.03148614609571787,0.007380073800737907
2022-10-27,7.83,7.875,7.28,7.36,30790812,-0.1013431013431012,-0.09471094710947103
2022-10-28,6.67,6.89,6.5,6.89,38054172,-0.06385869565217395,-0.15252152521525209
2022-10-31,6.56,6.85,6.47,6.62,27737819,-0.03918722786647311,-0.1857318573185731
2022-11-01,6.92,6.96,6.33,6.41,39135603,-0.031722054380664666,-0.21156211562115612
2022-11-02,6.5,6.97,6.18,6.6,49040530,0.029641185647425905,-0.18819188191881908
2022-11-03,6.44,6.995,6.4,6.86,23702251,0.03939393939393954,-0.15621156211562093
2022-11-04,8.03,8.24,7.65,7.88,60282201,0.14868804664723023,-0.030750307503074836
2022-11-07,8.32,8.8685,7.72,7.91,48472811,0.0038071065989848663,-0.02706027060270577
2022-11-08,7.71,7.96,7.38,7.82,23536077,-0.011378002528445008,-0.038130381303812744
2022-11-09,7.22,7.31,6.63,6.67,27736803,-0.1470588235294118,-0.17958179581795797
2022-11-10,7.45,7.5,6.95,7.04,37479000,0.05547226386806603,-0.13407134071340687
2022-11-11,7.46,8.595,7.2,8.49,63424729,0.20596590909090917,0.04428044280442833
2022-11-14,9.04,9.16,8.25,8.64,56330646,0.017667844522968323,0.06273062730627355
2022-11-15,9.39,9.55,8.76,9.02,54165606,0.0439814814814814,0.10947109471094763
2022-11-16,8.67,8.799,7.83,8.03,41186180,-0.1097560975609756,-0.012300123001229513
2022-11-17,8.01,8.05,7.53,8.0,47052272,-0.0037359900373598043,-0.015990159901598466
2022-11-18,7.89,8.22,7.62,7.76,26596874,-0.030000000000000027,-0.04551045510455054
2022-11-21,7.54,7.54,7.1,7.32,25768003,-0.05670103092783496,-0.09963099630996253
2022-11-22,7.08,7.175,6.93,7.03,20911584,-0.0396174863387978,-0.13530135301352952
2022-11-23,7.19,7.49,7.16,7.31,22787363,0.03982930298719767,-0.10086100861008551
2022-11-25,7.04,7.09,6.82,7.07,11975635,-0.03283173734610112,-0.13038130381303747
2022-11-28,6.9,7.31,6.88,6.89,18354706,-0.02545968882602556,-0.15252152521525164
2022-11-29,7.28,7.62,7.19,7.34,34913963,0.06531204644412192,-0.09717097170971656
2022-11-30,8.54,10.955,8.53,10.81,173509600,0.4727520435967303,0.3296432964329652
2022-12-01,10.08,10.22,9.67,9.97,45221739,-0.07770582793709524,0.22632226322263316
2022-12-02,10.08,12.88,10.08,11.45,94894931,0.148445336008024,0.4083640836408373
2022-12-05,12.96,13.1,10.88,11.34,67357521,-0.009606986899563297,0.39483394833948426
2022-12-06,11.55,12.36,11.26,11.69,50168402,0.030864197530864113,0.43788437884378917
2022-12-07,11.02,11.08,10.35,11.0,34072497,-0.05902480752780148,0.3530135301353021
2022-12-08,11.65,12.05,11.08,11.82,36408093,0.07454545454545447,0.4538745387453882
2022-12-09,11.44,11.49,10.93,10.94,28229949,-0.0744500846023689,0.345633456334564
2022-12-12,10.29,10.58,10.04,10.47,20614878,-0.042961608775136995,0.28782287822878305
2022-12-13,11.01,11.39,10.12,10.31,25946797,-0.015281757402101248,0.2681426814268151
2022-12-14,10.22,10.43,9.93,10.19,21640338,-0.011639185257032114,0.2533825338253388
2022-12-15,10.685,10.85,10.04,10.13,22494214,-0.0058881256133462845,0.2460024600246009
2022-12-16,10.55,11.145,10.3,10.3,25982847,0.016781836130306038,0.26691266912669187
2022-12-19,10.4,10.4,9.36,9.66,28675607,-0.062135922330097126,0.18819188191881975
2022-12-20,9.25,10.3,9.23,10.19,26627235,0.054865424430641685,0.2533825338253386
2022-12-21,9.99,11.33,9.91,11.3,26714496,0.10893032384690882,0.3899138991389919
2022-12-22,11.18,11.25,10.29,10.83,20323733,-0.04159292035398232,0.3321033210332107
2022-12-23,10.71,10.75,10.0,10.06,15949492,-0.07109879963065557,0.23739237392373957
2022-12-27,9.89,9.93,9.46,9.8,18615307,-0.025844930417495027,0.20541205412054153
2022-12-28,9.72,9.97,9.24,9.39,16766655,-0.04183673469387761,0.1549815498154985
2022-12-29,9.75,10.05,9.54,9.88,15350141,0.052183173588924436,0.21525215252152563
2022-12-30,9.73,10.09,9.66,9.94,11719259,0.006072874493926905,0.22263222632226332
2023-01-03,10.63,10.97,9.73,10.18,27129674,0.024144869215291687,0.25215252152521517
2023-01-04,10.57,11.965,10.31,11.56,31419607,0.13555992141453843,0.4218942189421895
2023-01-05,11.12,12.09,11.06,11.9,21958423,0.02941176470588225,0.4637146371463714
2023-01-06,10.525,10.58,9.85,10.11,41106665,-0.1504201680672269,0.24354243542435405
2023-01-09,10.29,10.48,9.9,9.91,24729530,-0.01978239366963397,0.21894218942189414
2023-01-10,10.38,10.41,9.85,10.09,22326017,0.01816347124117046,0.24108241082410808
2023-01-11,9.88,10.03,9.54,10.01,22349480,-0.007928642220019877,0.23124231242312399
2023-01-12,9.86,10.17,9.55,10.11,19037776,0.009990009990009874,0.24354243542435383
2023-01-13,9.63,10.08,9.63,9.99,14824443,-0.011869436201780381,0.2287822878228778
2023-01-17,9.53,9.5899,9.11,9.36,24980377,-0.06306306306306309,0.15129151291512866
2023-01-18,9.45,9.61,9.06,9.11,18357218,-0.026709401709401726,0.1205412054120536
2023-01-19,9.12,9.32,8.855,8.95,15296014,-0.01756311745334793,0.10086100861008562
2023-01-20,9.21,9.88,9.03,9.4,20213109,0.05027932960893877,0.15621156211562082
2023-01-23,9.62,10.67,9.6,10.1,28341605,0.07446808510638281,0.24231242312423062
2023-01-24,10.67,10.67,9.68,9.69,14729601,-0.04059405940594063,0.1918819188191876
2023-01-25,9.55,9.85,9.38,9.77,10482054,0.008255933952528327,0.20172201722017147
2023-01-26,10.45,10.46,9.97,10.24,16775421,0.048106448311156624,0.2595325953259524
